Champion,Region,Rank,Tier,Summoner
Aatrox,NA,1,Grandmaster,bie yi han
Aatrox,NA,2,Challenger,Shockey
Aatrox,NA,3,Challenger,Crimson
Aatrox,NA,4,Challenger,Berik
Aatrox,NA,5,Challenger,HighThunderBolt
Ahri,NA,1,Grandmaster,k9 pooch
Ahri,NA,2,Challenger,LegitKorea
Ahri,NA,3,Challenger,Choker
Ahri,NA,4,Challenger,0NAt
Ahri,NA,5,Grandmaster,n fart walk
Akali,NA,1,Challenger,syeu
Akali,NA,2,Grandmaster,Zeneryth
Akali,NA,3,Challenger,Choker
Akali,NA,4,Challenger,tr1ckst3r
Akali,NA,5,Challenger,nooneknows14
Akshan,NA,1,Challenger,chenchen53
Akshan,NA,2,Challenger,Likable
Akshan,NA,3,Grandmaster,Doctor Doom
Akshan,NA,4,Grandmaster,Linh The Legend
Akshan,NA,5,Master,zombie12thfan
Alistar,NA,1,Challenger,Isles2
Alistar,NA,2,Challenger,Isles1
Alistar,NA,3,Challenger,Breezyyy
Alistar,NA,4,Challenger,KDKD
Alistar,NA,5,Grandmaster,loltyler1
Amumu,NA,1,Challenger,Daption
Amumu,NA,2,Grandmaster,3uphoria
Amumu,NA,3,Master,Battòusai
Amumu,NA,4,Master,C9 Berserker
Amumu,NA,5,Master,Haniagra
Anivia,NA,1,Master,Edward
Anivia,NA,2,Grandmaster,teanivia1
Anivia,NA,3,Master,坏批小跟班
Anivia,NA,4,Master,Anivia
Anivia,NA,5,Master,MyOwnProfile
Annie,NA,1,Grandmaster,Talon7
Annie,NA,2,Challenger,4 Stars
Annie,NA,3,Grandmaster,BLOODY
Annie,NA,4,Diamond 2,tequa
Annie,NA,5,Grandmaster,TurkishKebaby
Aphelios,NA,1,Challenger,Inoriboob
Aphelios,NA,2,Challenger,wixxi
Aphelios,NA,3,Challenger,links
Aphelios,NA,4,Challenger,Minuilol
Aphelios,NA,5,Challenger,ben1
Ashe,NA,1,Challenger,Bio Teacher
Ashe,NA,2,Challenger,Isles3
Ashe,NA,3,Challenger,我不知道这意味着什么
Ashe,NA,4,Challenger,suffix
Ashe,NA,5,Challenger,Benhart
Aurelion Sol,NA,1,Master,Avatar Nick
Aurelion Sol,NA,2,Grandmaster,UnControlled
Aurelion Sol,NA,3,Challenger,Ariendel
Aurelion Sol,NA,4,Master,KingCobra
Aurelion Sol,NA,5,Master,sukuNA
Azir,NA,1,Challenger,Kzykendy
Azir,NA,2,Grandmaster,riversided
Azir,NA,3,Master,ThereTheir
Azir,NA,4,Challenger,A Frozen Titan
Azir,NA,5,Challenger,Dark Wingdom
Bard,NA,1,Challenger,calvin
Bard,NA,2,Challenger,Isles3
Bard,NA,3,Challenger,FLY Busio
Bard,NA,4,Challenger,ebb
Bard,NA,5,Challenger,cosha
Bel'Veth,NA,1,Challenger,Amazo
Bel'Veth,NA,2,Challenger,爱伊莲恩
Bel'Veth,NA,3,Challenger,Yuu13
Bel'Veth,NA,4,Challenger,co1dco1d
Bel'Veth,NA,5,Challenger,Seattle
Blitzcrank,NA,1,Grandmaster,Rocket
Blitzcrank,NA,2,Grandmaster,Ditto
Blitzcrank,NA,3,Grandmaster,DDOSS
Blitzcrank,NA,4,Challenger,FLY Busio
Blitzcrank,NA,5,Grandmaster,HappySupportGuy
Brand,NA,1,Challenger,teemomain85
Brand,NA,2,Challenger,RoseThorn
Brand,NA,3,Challenger,冰岛英雄
Brand,NA,4,Grandmaster,Haru De WaNAi
Brand,NA,5,Grandmaster,dokja
Braum,NA,1,Challenger,Isles1
Braum,NA,2,Challenger,KDKD
Braum,NA,3,Challenger,Just1
Braum,NA,4,Grandmaster,Silver
Braum,NA,5,Challenger,Breezyyy
Briar,NA,1,Challenger,T0mio
Briar,NA,2,Challenger,kirby with hair
Briar,NA,3,Grandmaster,L9gan
Briar,NA,4,Grandmaster,Fracture Ray
Briar,NA,5,Master,LMAOXD
Caitlyn,NA,1,Challenger,Shogo
Caitlyn,NA,2,Challenger,Inoriboob
Caitlyn,NA,3,Grandmaster,FirstTimeCaitlyn
Caitlyn,NA,4,Challenger,Midorima
Caitlyn,NA,5,Challenger,Bazz B
Camille,NA,1,Challenger,DeNAthor
Camille,NA,2,Grandmaster,Hyperton
Camille,NA,3,Challenger,Aymmy
Camille,NA,4,Grandmaster,Anya Mmiri
Camille,NA,5,Challenger,juicebox
Cassiopeia,NA,1,Grandmaster,Sour Gummy Worm
Cassiopeia,NA,2,Challenger,Zalt
Cassiopeia,NA,3,Grandmaster,SSSean
Cassiopeia,NA,4,Master,TwtchTv MoeZaic
Cassiopeia,NA,5,Grandmaster,Frigault
Cho'Gath,NA,1,Grandmaster,Ainzalaz
Cho'Gath,NA,2,Challenger,Tahmes
Cho'Gath,NA,3,Challenger,kirby with hair
Cho'Gath,NA,4,Master,LetsGoYumDumCha
Cho'Gath,NA,5,Master,WhiteUranium
Corki,NA,1,Grandmaster,deadWonder
Corki,NA,2,Master,Drew
Corki,NA,3,Master,BOMBTHREATCORKI
Corki,NA,4,Master,THE SUPER GOONER
Corki,NA,5,Master,petite latiNA
Darius,NA,1,Challenger,I AM SAMA
Darius,NA,2,Grandmaster,gorillajones
Darius,NA,3,Grandmaster,Cylainius
Darius,NA,4,Grandmaster,MXT
Darius,NA,5,Grandmaster,无聊玩玩
DiaNA,NA,1,Grandmaster,Sunny
DiaNA,NA,2,Challenger,luvbaka
DiaNA,NA,3,Grandmaster,Quantum
DiaNA,NA,4,Master,Exiled Heretic
DiaNA,NA,5,Grandmaster,ABitBad
Dr. Mundo,NA,1,Master,PyramidSainteFoy
Dr. Mundo,NA,2,Master,jltq
Dr. Mundo,NA,3,Master,2:00 AM
Dr. Mundo,NA,4,Master,Jgeno20
Dr. Mundo,NA,5,Grandmaster,Hugme
Ekko,NA,1,Challenger,Scyrnn
Ekko,NA,2,Challenger,ysssy
Ekko,NA,3,Challenger,Pyke Tyson
Ekko,NA,4,Grandmaster,cnjz
