Champion,Region,Rank,Tier,Summoner
Aatrox,NA,1,Grandmaster,bie yi han
Aatrox,NA,2,Challenger,Shockey
Aatrox,NA,3,Challenger,Crimson
Aatrox,NA,4,Challenger,Berik
Aatrox,NA,5,Challenger,HighThunderBolt
Aatrox,NA,6,Master,Batika
Aatrox,NA,7,Grandmaster,MXT
Aatrox,NA,8,Grandmaster,xRoyal
Aatrox,NA,9,Grandmaster,Voxtrik
Aatrox,NA,10,Grandmaster,Jack Koffman
Aatrox,NA,11,Challenger,Jauny
Aatrox,NA,12,Master,Halal Bros 2023
Aatrox,NA,13,Grandmaster,AirijkoTTV
Aatrox,NA,14,Challenger,DrCalculus
Aatrox,NA,15,Grandmaster,Eclipse
Aatrox,NA,16,Challenger,Srtty
Aatrox,NA,17,Master,twtv bobjenkins
Aatrox,NA,18,Grandmaster,Abyss watcher
Aatrox,NA,19,Grandmaster,나는악어
Aatrox,NA,20,Grandmaster,BladeCube
Aatrox,NA,21,Challenger,Diesel
Aatrox,NA,22,Grandmaster,Lebron James
Aatrox,NA,23,Grandmaster,nonamerandomdog
Aatrox,NA,24,Challenger,Gengar
Aatrox,NA,25,Grandmaster,aknid
Aatrox,NA,26,Grandmaster,Samanosuke
Aatrox,NA,27,Grandmaster,Lawrence
Aatrox,NA,28,Grandmaster,woolala
Aatrox,NA,29,Master,BLGBin
Aatrox,NA,30,Grandmaster,BoilTheOil
Aatrox,NA,31,Grandmaster,Maguyusi
Aatrox,NA,32,Challenger,JDLBeast
Aatrox,NA,33,Challenger,Merthos
Aatrox,NA,34,Master,faker god top
Aatrox,NA,35,Master,上路线被控了 自己会捡垃圾吃
Aatrox,NA,36,Grandmaster,sossboy
Aatrox,NA,37,Challenger,Watafackekw
Aatrox,NA,38,Master,IIIIIIIIIIllll
Aatrox,NA,39,Challenger,mysmysmysmys
Aatrox,NA,40,Master,BATMAN
Aatrox,NA,41,Master,HyBriDZz
Aatrox,NA,42,Master,Crimson
Aatrox,NA,43,Grandmaster,CR Min
Aatrox,NA,44,Master,Choker
Aatrox,NA,45,Grandmaster,sour
Aatrox,NA,46,Master,Dedicate
Aatrox,NA,47,Challenger,H3PHA35TU5
Aatrox,NA,48,Master,Aatrox
Aatrox,NA,49,Grandmaster,Cheeto
Aatrox,NA,50,Master,DaPointGuard
Aatrox,NA,51,Master,xxzjjqdx
Aatrox,NA,52,Master,BerserkGutsSword
Aatrox,NA,53,Grandmaster,无聊玩玩
Aatrox,NA,54,Master,arena closer
Aatrox,NA,55,Master,PCL
Aatrox,NA,56,Master,Ego
Aatrox,NA,57,Master,Dhokla
Aatrox,NA,58,Master,Bungo BALLS
Aatrox,NA,59,Master,Kamitsuki Sakura
Aatrox,NA,60,Master,discipline beast
Aatrox,NA,61,Master,themexicanfarmer
Aatrox,NA,62,Master,Arya
Aatrox,NA,63,Master,코지마
Aatrox,NA,64,Master,F9 Cudge
Aatrox,NA,65,Grandmaster,MOBSIAB
Aatrox,NA,66,Master,Loser Q Legend
Aatrox,NA,67,Grandmaster,sweeho
Aatrox,NA,68,Grandmaster,I GEOFFREY I
Aatrox,NA,69,Master,BrotherInBrother
Aatrox,NA,70,Grandmaster,God King Aatrox
Aatrox,NA,71,Master,Kachow
Aatrox,NA,72,Grandmaster,Smilexxx
Aatrox,NA,73,Grandmaster,SanfordJiaYouLin
Aatrox,NA,74,Grandmaster,LMA0 Z3 D0NG
Aatrox,NA,75,Master,nhokprovipzz
Aatrox,NA,76,Master,TớngaysauNè
Aatrox,NA,77,Master,Python
Aatrox,NA,78,Master,FinleyFionaBabli
Aatrox,NA,79,Master,小蚊子
Aatrox,NA,80,Master,Arr Jay Ess
Aatrox,NA,81,Master,Poker
Aatrox,NA,82,Master,Rhite Wice
Aatrox,NA,83,Master,Legendløl
Aatrox,NA,84,Master,100T Tenacity
Aatrox,NA,85,Master,Chinese Spy
Aatrox,NA,86,Master,KnicNicks
Aatrox,NA,87,Master,philip
Aatrox,NA,88,Master,Ecrofkwah
Aatrox,NA,89,Master,Se1738
Aatrox,NA,90,Master,Dark Wingdom
Aatrox,NA,91,Grandmaster,2333QAQ
Aatrox,NA,92,Master,ARIVEN SOLOQGOAT
Aatrox,NA,93,Master,Redsaward
Aatrox,NA,94,Master,The Darkin Blade
Aatrox,NA,95,Master,valie
Aatrox,NA,96,Grandmaster,NC theshy
Aatrox,NA,97,Master,TheyShy nam ay
Aatrox,NA,98,Master,Yuseong Dan
Aatrox,NA,99,Master,DripGodJuju
Aatrox,NA,100,Grandmaster,E rank regular
Ahri,NA,1,Grandmaster,k9 pooch
Ahri,NA,2,Challenger,LegitKorea
Ahri,NA,3,Challenger,Choker
Ahri,NA,4,Challenger,0nat
Ahri,NA,5,Grandmaster,n fart walk
Ahri,NA,6,Challenger,My Eclipse
Ahri,NA,7,Challenger,htag
Ahri,NA,8,Challenger,lG Roookie
Ahri,NA,9,Grandmaster,teanivia1
Ahri,NA,10,Challenger,Sword
Ahri,NA,11,Master,RED NINJA TURTL3
Ahri,NA,12,Grandmaster,Arimamma
Ahri,NA,13,Master,Alekseyy
Ahri,NA,14,Grandmaster,trash panda
Ahri,NA,15,Master,ICahriYou
Ahri,NA,16,Challenger,bluu
Ahri,NA,17,Grandmaster,Jonghwa
Ahri,NA,18,Challenger,tr1ckst3r
Ahri,NA,19,Master,Tar ai ais
Ahri,NA,20,Master,Zaxdro
Ahri,NA,21,Master,xxlb
Ahri,NA,22,Master,zoestoejam
Ahri,NA,23,Grandmaster,Jænsen
Ahri,NA,24,Challenger,sth2die4
Ahri,NA,25,Master,Gandalf
Ahri,NA,26,Grandmaster,Toothbooth
Ahri,NA,27,Grandmaster,芝麻酱
Ahri,NA,28,Grandmaster,Cotogod
Ahri,NA,29,Grandmaster,Seranok
Ahri,NA,30,Grandmaster,Radar
Ahri,NA,31,Master,Synergist
Ahri,NA,32,Master,Zero Hour
Ahri,NA,33,Master,LEGO 11031
