Champion,Region,Rank,Tier,Summoner
Aatrox,na1,1,Grandmaster,bie yi han
Aatrox,na1,2,Challenger,Shockey
Aatrox,na1,3,Challenger,Crimson
Aatrox,na1,4,Challenger,Berik
Aatrox,na1,5,Challenger,HighThunderBolt
Ahri,na1,1,Grandmaster,k9 pooch
Ahri,na1,2,Challenger,LegitKorea
Ahri,na1,3,Challenger,Choker
Ahri,na1,4,Challenger,0na1t
Ahri,na1,5,Grandmaster,n fart walk
Akali,na1,1,Challenger,syeu
Akali,na1,2,Grandmaster,Zeneryth
Akali,na1,3,Challenger,Choker
Akali,na1,4,Challenger,tr1ckst3r
Akali,na1,5,Challenger,nooneknows14
Akshan,na1,1,Challenger,chenchen53
Akshan,na1,2,Challenger,Likable
Akshan,na1,3,Grandmaster,Doctor Doom
Akshan,na1,4,Grandmaster,Linh The Legend
Akshan,na1,5,Master,zombie12thfan
Alistar,na1,1,Challenger,Isles2
Alistar,na1,2,Challenger,Isles1
Alistar,na1,3,Challenger,Breezyyy
Alistar,na1,4,Challenger,KDKD
Alistar,na1,5,Grandmaster,loltyler1
Amumu,na1,1,Challenger,Daption
Amumu,na1,2,Grandmaster,3uphoria
Amumu,na1,3,Master,Battòusai
Amumu,na1,4,Master,C9 Berserker
Amumu,na1,5,Master,Haniagra
Anivia,na1,1,Master,Edward
Anivia,na1,2,Grandmaster,teanivia1
Anivia,na1,3,Master,坏批小跟班
Anivia,na1,4,Master,Anivia
Anivia,na1,5,Master,MyOwnProfile
Annie,na1,1,Grandmaster,Talon7
Annie,na1,2,Challenger,4 Stars
Annie,na1,3,Grandmaster,BLOODY
Annie,na1,4,Diamond 2,tequa
Annie,na1,5,Grandmaster,TurkishKebaby
Aphelios,na1,1,Challenger,Inoriboob
Aphelios,na1,2,Challenger,wixxi
Aphelios,na1,3,Challenger,links
Aphelios,na1,4,Challenger,Minuilol
Aphelios,na1,5,Challenger,ben1
Ashe,na1,1,Challenger,Bio Teacher
Ashe,na1,2,Challenger,Isles3
Ashe,na1,3,Challenger,我不知道这意味着什么
Ashe,na1,4,Challenger,suffix
Ashe,na1,5,Challenger,Benhart
Aurelion Sol,na1,1,Master,Avatar Nick
Aurelion Sol,na1,2,Grandmaster,UnControlled
Aurelion Sol,na1,3,Challenger,Ariendel
Aurelion Sol,na1,4,Master,KingCobra
Aurelion Sol,na1,5,Master,sukuna1
Azir,na1,1,Challenger,Kzykendy
Azir,na1,2,Grandmaster,riversided
Azir,na1,3,Master,ThereTheir
Azir,na1,4,Challenger,A Frozen Titan
Azir,na1,5,Challenger,Dark Wingdom
Bard,na1,1,Challenger,calvin
Bard,na1,2,Challenger,Isles3
Bard,na1,3,Challenger,FLY Busio
Bard,na1,4,Challenger,ebb
Bard,na1,5,Challenger,cosha
Bel'Veth,na1,1,Challenger,Amazo
Bel'Veth,na1,2,Challenger,爱伊莲恩
Bel'Veth,na1,3,Challenger,Yuu13
Bel'Veth,na1,4,Challenger,co1dco1d
Bel'Veth,na1,5,Challenger,Seattle
Blitzcrank,na1,1,Grandmaster,Rocket
Blitzcrank,na1,2,Grandmaster,Ditto
Blitzcrank,na1,3,Grandmaster,DDOSS
Blitzcrank,na1,4,Challenger,FLY Busio
Blitzcrank,na1,5,Grandmaster,HappySupportGuy
Brand,na1,1,Challenger,teemomain85
Brand,na1,2,Challenger,RoseThorn
Brand,na1,3,Challenger,冰岛英雄
Brand,na1,4,Grandmaster,Haru De Wana1i
Brand,na1,5,Grandmaster,dokja
Braum,na1,1,Challenger,Isles1
Braum,na1,2,Challenger,KDKD
Braum,na1,3,Challenger,Just1
Braum,na1,4,Grandmaster,Silver
Braum,na1,5,Challenger,Breezyyy
Briar,na1,1,Challenger,T0mio
Briar,na1,2,Challenger,kirby with hair
Briar,na1,3,Grandmaster,L9gan
Briar,na1,4,Grandmaster,Fracture Ray
Briar,na1,5,Master,LMAOXD
Caitlyn,na1,1,Challenger,Shogo
Caitlyn,na1,2,Challenger,Inoriboob
Caitlyn,na1,3,Grandmaster,FirstTimeCaitlyn
Caitlyn,na1,4,Challenger,Midorima
Caitlyn,na1,5,Challenger,Bazz B
Camille,na1,1,Challenger,Dena1thor
Camille,na1,2,Grandmaster,Hyperton
Camille,na1,3,Challenger,Aymmy
Camille,na1,4,Grandmaster,Anya Mmiri
Camille,na1,5,Challenger,juicebox
Cassiopeia,na1,1,Grandmaster,Sour Gummy Worm
Cassiopeia,na1,2,Challenger,Zalt
Cassiopeia,na1,3,Grandmaster,SSSean
Cassiopeia,na1,4,Master,TwtchTv MoeZaic
Cassiopeia,na1,5,Grandmaster,Frigault
Cho'Gath,na1,1,Grandmaster,Ainzalaz
Cho'Gath,na1,2,Challenger,Tahmes
Cho'Gath,na1,3,Challenger,kirby with hair
Cho'Gath,na1,4,Master,LetsGoYumDumCha
Cho'Gath,na1,5,Master,WhiteUranium
Corki,na1,1,Grandmaster,deadWonder
Corki,na1,2,Master,Drew
Corki,na1,3,Master,BOMBTHREATCORKI
Corki,na1,4,Master,THE SUPER GOONER
Corki,na1,5,Master,petite latina1
Darius,na1,1,Challenger,I AM SAMA
Darius,na1,2,Grandmaster,gorillajones
Darius,na1,3,Grandmaster,Cylainius
Darius,na1,4,Grandmaster,MXT
Darius,na1,5,Grandmaster,无聊玩玩
Diana1,na1,1,Grandmaster,Sunny
Diana1,na1,2,Challenger,luvbaka
Diana1,na1,3,Grandmaster,Quantum
Diana1,na1,4,Master,Exiled Heretic
Diana1,na1,5,Grandmaster,ABitBad
Dr. Mundo,na1,1,Master,PyramidSainteFoy
Dr. Mundo,na1,2,Master,jltq
Dr. Mundo,na1,3,Master,2:00 AM
Dr. Mundo,na1,4,Master,Jgeno20
Dr. Mundo,na1,5,Grandmaster,Hugme
Ekko,na1,1,Challenger,Scyrnn
Ekko,na1,2,Challenger,ysssy
Ekko,na1,3,Challenger,Pyke Tyson
Ekko,na1,4,Grandmaster,cnjz
Ekko,na1,5,Grandmaster,RomanSaIute
Elise,na1,1,Grandmaster,ikeai
Elise,na1,2,Grandmaster,jungleuser
Elise,na1,3,Master,BLACK PETE
Elise,na1,4,Master,Hiwaga
Elise,na1,5,Challenger,kirby with hair
Evelynn,na1,1,Challenger,dusklol
Evelynn,na1,2,Challenger,TTV dusk lol
Evelynn,na1,3,Grandmaster,sokka
Evelynn,na1,4,Challenger,KryRa
Evelynn,na1,5,Grandmaster,Disdainº
Ezreal,na1,1,Challenger,MYSTIC77
Ezreal,na1,2,Challenger,Hub1012345
Ezreal,na1,3,Challenger,Neøø
Ezreal,na1,4,Challenger,Cody Sun
Ezreal,na1,5,Grandmaster,kosmos
Fiddlesticks,na1,1,Challenger,Nikkone
Fiddlesticks,na1,2,Grandmaster,Mango
Fiddlesticks,na1,3,Grandmaster,Xiao Qing OuO
Fiddlesticks,na1,4,Grandmaster,ALEX HO
Fiddlesticks,na1,5,Grandmaster,孟原快去洗脚丫
Fiora,na1,1,Challenger,唯尔于心
Fiora,na1,2,Challenger,昭彰爱意
Fiora,na1,3,Challenger,olruol
Fiora,na1,4,Grandmaster,KKYTJ
Fiora,na1,5,Challenger,Jauny
Fizz,na1,1,Challenger,闪光小星
Fizz,na1,2,Grandmaster,魔人啾啾
Fizz,na1,3,Master,虎牙Mango Fish
Fizz,na1,4,Master,Refulgence
Fizz,na1,5,Challenger,彻底疯狂
Galio,na1,1,Challenger,lG Roookie
Galio,na1,2,Grandmaster,NotIntTop
Galio,na1,3,Grandmaster,meí dào li
Galio,na1,4,Master,Jayweii
Galio,na1,5,Challenger,Aiden Yasuo
Gangplank,na1,1,Grandmaster,Solarbacca
Gangplank,na1,2,Grandmaster,Zeffry Aboujeeni
Gangplank,na1,3,Grandmaster,OutRushed
Gangplank,na1,4,Master,TwoManyOranges
Gangplank,na1,5,Grandmaster,bie yi han
Garen,na1,1,Grandmaster,PaIco
Garen,na1,2,Grandmaster,CHINESE PALCO
Garen,na1,3,Master,DawntoDúsk
Garen,na1,4,Challenger,Decoy
Garen,na1,5,Master,パルコ
Gna1r,na1,1,Grandmaster,bie yi han
Gna1r,na1,2,Challenger,Jauny
Gna1r,na1,3,Challenger,olruol
Gna1r,na1,4,Challenger,Abyss watcher
Gna1r,na1,5,Master,Aleakath
Gragas,na1,1,Grandmaster,Marios
Gragas,na1,2,Master,kyle9303
Gragas,na1,3,Grandmaster,Lilpistol
Gragas,na1,4,Challenger,IJY
Gragas,na1,5,Grandmaster,Zequilla
Graves,na1,1,Challenger,KryRa
Graves,na1,2,Challenger,stayfocusss
Graves,na1,3,Challenger,EGO
Graves,na1,4,Challenger,T0mio
Graves,na1,5,Challenger,sean
Gwen,na1,1,Challenger,唯尔于心
Gwen,na1,2,Challenger,昭彰爱意
Gwen,na1,3,Challenger,Kenvi
Gwen,na1,4,Grandmaster,AYAYA
Gwen,na1,5,Grandmaster,Kirby Iover
Hecarim,na1,1,Challenger,HUNCHO HECAKING
Hecarim,na1,2,Challenger,optimal
Hecarim,na1,3,Grandmaster,DEOXYS
Hecarim,na1,4,Challenger,EGO
Hecarim,na1,5,Challenger,U Never Loved Me
Heimerdinger,na1,1,Grandmaster,FLABREZU
Heimerdinger,na1,2,Grandmaster,DangIe
Heimerdinger,na1,3,Grandmaster,L P
Heimerdinger,na1,4,Challenger,roughbeanz
Heimerdinger,na1,5,Challenger,Isles3
Hwei,na1,1,Challenger,teemomain85
Hwei,na1,2,Challenger,hamz
Hwei,na1,3,Challenger,Tyler
Hwei,na1,4,Challenger,Cupic Vtuber
Hwei,na1,5,Challenger,Szochs
Illaoi,na1,1,Grandmaster,Vibing Grandpa
Illaoi,na1,2,Grandmaster,lost puppy
Illaoi,na1,3,Master,Pleina1ir
Illaoi,na1,4,Master,Cowfan
Illaoi,na1,5,Challenger,TR1LL
Irelia,na1,1,Grandmaster,Rohanski
Irelia,na1,2,Grandmaster,Zeffry Aboujeeni
Irelia,na1,3,Grandmaster,TOP KING
Irelia,na1,4,Challenger,闪光小星
Irelia,na1,5,Grandmaster,Kamitsuki Sakura
Ivern,na1,1,Challenger,jamican bana1na1
Ivern,na1,2,Challenger,garbo
Ivern,na1,3,Challenger,JungIe Barber
Ivern,na1,4,Grandmaster,Vyvan Le
Ivern,na1,5,Grandmaster,Dendrophilia
Janna1,na1,1,Grandmaster,Trade
Janna1,na1,2,Challenger,Swkeeee
Janna1,na1,3,Challenger,Boy Wonder
Janna1,na1,4,Grandmaster,AllPro
Janna1,na1,5,Master,Nephh
Jarvan IV,na1,1,Challenger,ttv perryjg
Jarvan IV,na1,2,Grandmaster,Kitzuo
Jarvan IV,na1,3,Challenger,Aeon Crystal
Jarvan IV,na1,4,Challenger,KryRa
Jarvan IV,na1,5,Challenger,winnie
Jax,na1,1,Grandmaster,TOP KING
Jax,na1,2,Challenger,IIIIIIIIIIllll
Jax,na1,3,Challenger,luna1cia
Jax,na1,4,Challenger,HighThunderBolt
Jax,na1,5,Challenger,Halal Bros 2023
Jayce,na1,1,Challenger,Choker
Jayce,na1,2,Challenger,Chovy
Jayce,na1,3,Grandmaster,Zeffry Aboujeeni
Jayce,na1,4,Challenger,C9C9C9C9C9
Jayce,na1,5,Challenger,young
Jhin,na1,1,Grandmaster,DIg Striker
Jhin,na1,2,Challenger,Minuilol
Jhin,na1,3,Grandmaster,Djinn
Jhin,na1,4,Challenger,Bazz B
Jhin,na1,5,Challenger,Kuderic
Jinx,na1,1,Challenger,wixxi
Jinx,na1,2,Challenger,Bassel
Jinx,na1,3,Challenger,neødeptrai
Jinx,na1,4,Challenger,Inoriboob
Jinx,na1,5,Challenger,Neøø
K'Sante,na1,1,Challenger,ÑOTÄLONE
K'Sante,na1,2,Challenger,Üc207Pr4f57t9
K'Sante,na1,3,Challenger,Eclipse
